,Year,Month,Day of Month,Date,State,Magnitude on F/EF scale,Number of injuries,Number of fatalities,Starting latitude,Starting longitude,Ending latitude,Ending longitude,Track length in KM,Tornado width in meters,Starting location,Ending location
70,1950,5,2,02/05/1950,LA,1,1,0,31.67,-92.9,32,-92.5,52.79,137.16,"North Jefferson Highway, ,Grant Parish,Louisiana,71454","State Route 499, ,Winn Parish,Louisiana, "
74,1950,5,4,04/05/1950,KS,4,1,0,38.03,-99.12,38.45,-98.78,55.2,137.16," , ,Pawnee County,Kansas, ","Northwest 60 Road, ,Barton County,Kansas,67544"
76,1950,5,4,04/05/1950,OK,2,0,0,35.25,-99.55,35.32,-99.5,9.01,267.92,"Bank 5, ,Beckham County,Oklahoma, ","E1170 Road, ,Beckham County,Oklahoma, "
79,1950,5,5,05/05/1950,KS,3,12,0,39.62,-95.62,39.85,-95.52,27.84,402.34,"W Road, ,Jackson County,Kansas,66552","East Iowa, ,Brown County,Kansas,66434"
82,1950,5,7,07/05/1950,OK,2,3,0,36.12,-97.83,36.17,-97.78,6.92,9.14,"OK 51, ,Kingfisher County,Oklahoma, ","N2930 Road, ,Garfield County,Oklahoma, "
87,1950,5,8,08/05/1950,KS,2,0,0,39.35,-98.48,39.47,-98.3,20.28,603.5," , ,Mitchell County,Kansas,67485","210 RD,Victor,Mitchell County,Kansas,67446"
88,1950,5,8,08/05/1950,KS,2,1,0,39.57,-98.3,39.63,-98.2,10.94,9.14," , ,Jewell County,Kansas, "," , ,Jewell County,Kansas,66949"
89,1950,5,8,08/05/1950,KS,2,2,0,39.23,-98.95,39.23,-98.58,31.54,402.34," , ,Osborne County,Kansas, "," , ,Osborne County,Kansas, "
90,1950,5,8,08/05/1950,NE,2,1,0,40.38,-95.8,40.28,-95.68,14.16,427.02,"Half Breed Drive, ,Nemaha County,Nebraska,68305","721 Road, ,Nemaha County,Nebraska,68437"
100,1950,5,14,14/05/1950,NC,1,0,0,35.3,-79.8,35.33,-79.75,6.12,45.72,"Currie Road, ,Montgomery County,North Carolina,27229","Ball Park Road, ,Montgomery County,North Carolina,27209"
105,1950,5,15,15/05/1950,TX,2,0,0,29.78,-98.83,29.67,-98.57,28.97,9.14,"Wild Turkey Boulevard, ,Kendall County,Texas, ","Cowgill Road, ,Bexar County,Texas,78015"
107,1950,5,16,16/05/1950,OK,1,1,0,35.82,-99.12,35.87,-99,11.75,91.44," ,Aledo,Dewey County,Oklahoma, "," , ,Dewey County,Oklahoma,73659"
109,1950,5,18,18/05/1950,KS,3,2,0,38.12,-96.82,38.33,-96.82,23.98,91.44,"30th Road, ,Chase County,Kansas, "," , ,Chase County,Kansas, "
114,1950,5,24,24/05/1950,KS,1,0,0,39.38,-96.97,39.45,-96.78,17.22,36.58,"18th Road, ,Clay County,Kansas,67432","Walnut Creek Road, ,Riley County,Kansas,66554"
115,1950,5,24,24/05/1950,KS,2,1,0,37.27,-99.48,37.28,-99.42,5.79,70.41,"Avenue I, ,Comanche County,Kansas,67029","Avenue H, ,Comanche County,Kansas,67029"
121,1950,5,29,29/05/1950,TX,1,0,0,33.35,-96.92,33.3,-96.92,5.47,244.14,"Friendship Road, ,Denton County,Texas,76258","Farm-to-Market Road 428,Spring Hill,Denton County,Texas,76227"
126,1950,6,4,04/06/1950,GA,1,1,0,33.85,-84.25,33.85,-84.2,5.31,9.14," , ,DeKalb County,Georgia,30084","SR 8 CONN, ,DeKalb County,Georgia,30084"
127,1950,6,5,05/06/1950,TX,1,2,0,29.9,-96.4,29.72,-96.07,38.14,9.14," , ,Austin County,Texas, ","FM 1458,Frydek,Austin County,Texas,77473"
128,1950,6,5,05/06/1950,TX,3,6,0,30.18,-96.4,30.02,-96.05,38.46,61.26,"Brenham Hike & Bike Trail, ,Washington County,Texas,77833","Mesquite, ,Waller County,Texas, "
131,1950,6,8,08/06/1950,KS,4,5,1,38.33,-97.93,38.33,-97.6,27.52,640.08,"Avenue North, ,Rice County,Kansas, ","Frontier Road, ,McPherson County,Kansas,67443"
136,1950,6,13,13/06/1950,NE,2,101,0,42.6,-97.88,42.65,-97.82,6.6,9.14,"Highway 84, ,Knox County,Nebraska,68724"," , ,Knox County,Nebraska, "
137,1950,6,14,14/06/1950,ND,3,0,0,48.92,-103.77,48.78,-103.28,38.14,9.14,"140th Avenue Northwest, ,Divide County,North Dakota,58844","93rd Street Northwest, ,Divide County,North Dakota, "
139,1950,6,15,15/06/1950,IA,3,5,0,41.98,-93.6,41.97,-93.48,9.01,274.32,"550th Avenue, ,Story County,Iowa,50010","610th Avenue, ,Story County,Iowa,50201"
140,1950,6,15,15/06/1950,MN,2,4,0,46.58,-96.33,46.52,-96.33,7.4,61.26,"I 94, ,Wilkin County,Minnesota,56579","County Highway 52,Lawndale,Wilkin County,Minnesota,56514"
142,1950,6,16,16/06/1950,KS,1,0,0,38.28,-101.28,38.7,-101.13,48.12,9.14,"KS 25,Lydia,Wichita County,Kansas, ","County Road A, ,Logan County,Kansas, "
143,1950,6,19,19/06/1950,TX,0,0,0,36.08,-102.53,36.08,-102.25,25.43,152.7,"Ponderosa Lane, ,Dallam County,Texas,79022"," , ,Dallam County,Texas, "
148,1950,6,25,25/06/1950,WI,2,0,0,45.57,-90.3,45.57,-90.12,13.52,9.14,"County Highway A, ,Price County,Wisconsin,54556","County Road D,Brantwood,Price County,Wisconsin,54513"
149,1950,6,25,25/06/1950,WI,2,0,1,44.83,-90.35,44.97,-90.28,12.55,15.54,"Kington Road,Riplinger,Clark County,Wisconsin,54488","Holton Road, ,Marathon County,Wisconsin,54405"
151,1950,6,25,25/06/1950,WI,4,12,2,45.58,-89.58,45.67,-89.33,21.08,804.67," , ,Oneida County,Wisconsin, ","Oneida Cty Snowmobile Route 15,Roosevelt,Oneida County,Wisconsin, "
152,1950,7,1,01/07/1950,IA,2,0,0,42.45,-91.92,0,0,22.53,9.14,"Iowa Avenue, ,Buchanan County,Iowa,50644"," , , , , "
157,1950,7,5,05/07/1950,PA,2,2,0,40.58,-75.7,40.65,-75.47,20.76,9.14,"William Penn Highway, ,Lehigh County,Pennsylvania,18051","Front Street, ,Lehigh County,Pennsylvania,18032"
160,1950,7,11,11/07/1950,NM,1,0,0,35.28,-103.52,35.33,-103.48,6.12,457.2," , ,Quay County,New Mexico, "," , ,Quay County,New Mexico, "
161,1950,7,12,12/07/1950,CT,2,0,0,41.57,-72.57,0,0,16.09,9.14,"Breezy Corners Road, ,Lower Connecticut River Valley Planning Region, ,06480"," , , , , "
162,1950,7,14,14/07/1950,CT,2,3,0,41.27,-73.5,0,0,8.05,91.44,"West Lane, ,Western Connecticut Planning Region, ,06877"," , , , , "
163,1950,7,15,15/07/1950,NE,4,33,0,41.8,-96.6,41.73,-96.42,16.09,402.34,"E Road, ,Cuming County,Nebraska,68788","County Road D, ,Burt County,Nebraska,68019"
166,1950,7,19,19/07/1950,IN,1,0,0,40.22,-87.15,40.18,-87.07,6.92,182.88,"SR 341, ,Fountain County,Indiana,47969","West 970 North, ,Montgomery County,Indiana,47994"
170,1950,7,19,19/07/1950,OH,3,30,0,40.72,-84.08,40.83,-83.97,15.61,274.32,"Glenn Avenue, ,Allen County,Ohio,45804","I 75, ,Allen County,Ohio,45808"
175,1950,8,2,02/08/1950,NM,1,0,0,34.12,-107.23,34.02,-107.3,12.71,91.44,"1st Street, ,Socorro County,New Mexico,87825","Forest Road 234, ,Socorro County,New Mexico, "
179,1950,8,6,06/08/1950,KS,2,0,0,39.13,-100.63,39.12,-100.47,14,9.14,"3rd Street, ,Gove County,Kansas,67738","Gove DD, ,Gove County,Kansas,67737"
181,1950,8,9,09/08/1950,WV,1,0,0,39.28,-81.38,0,0,8.05,9.14,"WV 31,Doyle,Wood County,West Virginia,26184"," , , , , "
182,1950,8,11,11/08/1950,MD,1,0,0,39.33,-75.87,0,0,9.66,9.14,"Jim Davis Road,El Dondo Acres,Kent County,Maryland,21650"," , , , , "
183,1950,8,24,24/08/1950,AR,2,7,0,34.4,-91.43,34.43,-91.38,5.79,182.88,"Hillman Road, ,Arkansas County,Arkansas,72003","Bennett Road, ,Arkansas County,Arkansas,72003"
184,1950,8,28,28/08/1950,KS,1,0,0,37.47,-100.82,37.42,-100.7,11.59,9.14,"County Road PP, ,Haskell County,Kansas,67877","County Road 230, ,Haskell County,Kansas,67870"
188,1950,9,15,15/09/1950,OK,2,6,0,35,-96.25,35.07,-96.17,10.94,91.44,"CR E1390,Cross Roads,Hughes County,Oklahoma,74531"," , ,Hughes County,Oklahoma,74850"
190,1950,9,21,21/09/1950,NE,1,0,0,40.72,-96.82,40.72,-96.38,36.21,61.26,"Southwest 70th Street, ,Lancaster County,Nebraska,68339","E Road, ,Otoe County,Nebraska,68418"
191,1950,10,1,01/10/1950,OK,1,0,0,36.73,-102.52,36.88,-102.3,25.43,9.14,"North Balfour Avenue, ,Cimarron County,Oklahoma,73933"," , ,Cimarron County,Oklahoma, "
193,1950,11,4,04/11/1950,PA,3,1,0,40.2,-76.12,40.4,-75.93,25.59,91.44,"Woodcrest Lane, ,Lancaster County,Pennsylvania,17578","Western Avenue,Tuckerton,Berks County,Pennsylvania,19560"
197,1950,12,2,02/12/1950,AR,3,0,0,36.12,-91.83,36.18,-91.72,12.55,9.14," , ,Izard County,Arkansas, ","AR 56, ,Izard County,Arkansas,72519"
198,1950,12,2,02/12/1950,IL,1,0,0,38.17,-89.78,38.22,-89.62,15.45,45.72," , ,Randolph County,Illinois, "," , ,Washington County,Illinois,62237"
199,1950,12,2,02/12/1950,IL,2,3,1,38.97,-90.05,39.07,-89.72,30.26,45.72,"Seiler Road, ,Madison County,Illinois,62021","East 2nd South Street, ,Macoupin County,Illinois,62069"
200,1950,12,2,02/12/1950,IL,3,25,2,38.75,-89.67,38.9,-89.38,28.97,182.88,"US Highway 40, ,Madison County,Illinois,62249","IL 140, ,Bond County,Illinois,62284"
201,1951,1,6,06/01/1951,LA,3,11,0,31.3,-92.47,31.53,-92.4,27.04,289.86,"Bayou Drive, ,Rapides Parish,Louisiana,71301","Big Creek Dam Road, ,Grant Parish,Louisiana,71467"
202,1951,1,11,11/01/1951,CA,2,0,0,37.37,-122.12,37.42,-122.03,9.17,9.14,"Manresa Lane, ,Santa Clara County,California,94022","1st Avenue, ,Santa Clara County,California,94035"
205,1951,2,6,06/02/1951,LA,1,0,0,30.48,-90.42,30.53,-90.37,7.89,30.18,"I-12 Service Road, ,Tangipahoa Parish,Louisiana,70404","River Road, ,Tangipahoa Parish,Louisiana,70401"
207,1951,2,19,19/02/1951,OK,2,5,0,35.27,-98.18,35.83,-97.83,70.65,18.29,"CR N2700,Spring Creek,Caddo County,Oklahoma, "," , ,Kingfisher County,Oklahoma, "
209,1951,2,20,20/02/1951,AR,2,3,0,34.6,-92.02,35.55,-90.4,181.53,304.5,"North Highline Road, ,Lonoke County,Arkansas,72083","Shaw Bridge Lane, ,Poinsett County,Arkansas,72365"
214,1951,3,2,02/03/1951,KS,3,0,0,39.43,-98.55,39.6,-97.87,61.32,9.14," , ,Osborne County,Kansas, "," , ,Cloud County,Kansas,66948"
219,1951,4,5,05/04/1951,OK,2,0,0,35.32,-97.55,35.37,-97.47,9.17,116.13,"Southwest 149th Street, ,Cleveland County,Oklahoma,73170"," , ,Cleveland County,Oklahoma,73160"
221,1951,4,5,05/04/1951,OK,2,2,0,36.53,-98.92,36.57,-98.87,5.79,30.18," , ,Woods County,Oklahoma, "," , ,Woods County,Oklahoma, "
227,1951,4,21,21/04/1951,MS,3,16,2,31.68,-89.25,32.15,-89.12,53.91,9.14,"Veterans Memorial Highway, ,Jones County,Mississippi,39443"," , ,Jasper County,Mississippi, "
231,1951,4,26,26/04/1951,KS,0,0,0,37.47,-101.52,37.73,-101.1,46.99,9.14,"County Road 19, ,Grant County,Kansas, "," , ,Grant County,Kansas, "
237,1951,4,28,28/04/1951,OH,2,5,0,41,-83.67,41.1,-83.4,24.46,9.14,"County Road 76, ,Hancock County,Ohio,45840","Fostoria-Carey Road,Alvada,Seneca County,Ohio,44830"
240,1951,4,30,30/04/1951,KS,3,0,0,37.63,-98.75,37.77,-98.58,20.6,402.34,"Southwest 10th Street, ,Pratt County,Kansas,67124","Northeast 90th Avenue, ,Pratt County,Kansas,67583"
244,1951,4,30,30/04/1951,OK,3,0,0,35.43,-97.58,35.5,-97.48,11.91,182.88,"South Meta Avenue, ,Oklahoma County,Oklahoma,73119","Bishop Bobby L Williams Drive, ,Oklahoma County,Oklahoma,73111"
252,1951,5,9,09/05/1951,OK,2,1,0,34,-96.6,34.18,-96.47,23.82,91.44,"US 70, ,Bryan County,Oklahoma,73346"," , ,Johnston County,Oklahoma, "
253,1951,5,9,09/05/1951,TX,2,0,0,33.93,-98.68,33.93,-98.77,7.89,30.18,"FM 367;FM 368, ,Wichita County,Texas,76367"," , ,Wichita County,Texas, "
254,1951,5,11,11/05/1951,PA,2,1,0,40.12,-79.12,40.05,-78.98,12.87,9.14,"Keysertown Road, ,Somerset County,Pennsylvania,15531","Coleman Station Road,Coleman,Somerset County,Pennsylvania,15541"
274,1951,5,20,20/05/1951,CO,0,0,0,40.98,-102.27,41.02,-102.15,9.82,9.14,"County Road 32.5, ,Sedgwick County,Colorado,80737","Road 4, ,Deuel County,Nebraska,69122"
275,1951,5,20,20/05/1951,CO,1,0,0,40.98,-102.27,41.05,-102.08,16.58,9.14,"County Road 32.5, ,Sedgwick County,Colorado,80737","Frontage Road, ,Deuel County,Nebraska,69122"
277,1951,5,20,20/05/1951,KS,3,0,0,37.9,-101.2,38.02,-101.02,20.6,822.96,"Road 120, ,Kearny County,Kansas,67860","West Rodkey Road, ,Finney County,Kansas,67851"
282,1951,5,23,23/05/1951,GA,2,0,0,31.3,-83.83,31.27,-83.68,14.81,45.72,"Wilmer Green Road, ,Colquitt County,Georgia, ","Serena Drive, ,Colquitt County,Georgia,31771"
286,1951,5,25,25/05/1951,KS,3,0,1,39.27,-97.18,39.32,-97.13,6.6,402.34," ,Ladysmith,Clay County,Kansas, ","Navajo Road (1400), ,Clay County,Kansas,67487"
296,1951,5,30,30/05/1951,KS,1,0,0,39.13,-97.05,39.22,-96.93,13.36,9.14,"3700 Avenue, ,Clay County,Kansas, ","US 77;KS 82, ,Riley County,Kansas, "
297,1951,5,30,30/05/1951,KS,1,0,0,39.35,-96.45,39.4,-96.32,12.39,9.14,"Admantha Road, ,Pottawatomie County,Kansas, ","Wheaton Road, ,Pottawatomie County,Kansas,66432"
299,1951,5,30,30/05/1951,NE,2,7,0,41.9,-103.5,41.73,-103.18,31.7,9.14,"Stonegate Road, ,Scotts Bluff County,Nebraska,69356","Road 102,Atkins,Morrill County,Nebraska, "
303,1951,6,1,01/06/1951,KS,1,0,0,39.73,-97.98,39.78,-97.78,17.7,9.14," , ,Jewell County,Kansas, ","County Road 9, ,Republic County,Kansas,66961"
307,1951,6,6,06/06/1951,CO,2,1,0,38.73,-103.58,38.77,-103.5,7.56,198.42,"County Road S, ,Lincoln County,Colorado,80823"," , ,Lincoln County,Colorado, "
311,1951,6,6,06/06/1951,KS,1,0,0,37.63,-98.9,37.65,-98.73,14.48,9.14,"Southwest 10th Street,Cullison,Pratt County,Kansas,67124","Stout Street, ,Pratt County,Kansas,67124"
316,1951,6,6,06/06/1951,KS,3,3,0,37.58,-101.37,37.03,-100.93,72.1,9.14,"South Maxwell Street, ,Grant County,Kansas,67880","Wilson Street, ,Seward County,Kansas,67901"
318,1951,6,6,06/06/1951,OK,2,0,0,34.7,-97.7,34.73,-97.65,6.12,411.48," , ,Grady County,Oklahoma, "," , ,Garvin County,Oklahoma, "
322,1951,6,6,06/06/1951,TX,2,0,0,34.43,-100.2,34.43,-100.13,5.79,1609.34,"3rd Street Northeast, ,Childress County,Texas,79201"," , ,Childress County,Texas,79201"
323,1951,6,6,06/06/1951,TX,3,12,0,35.43,-101.18,35.32,-101.07,16.74,91.44,"South Horn Street, ,Carson County,Texas,79097"," , ,Gray County,Texas, "
324,1951,6,7,07/06/1951,OK,1,1,0,36.45,-95.75,36.48,-95.65,9.17,30.18,"South 4075 Road, ,Rogers County,Oklahoma,74053","South 4130 Road, ,Rogers County,Oklahoma, "
333,1951,6,8,08/06/1951,OK,3,0,0,35.38,-98.8,35.33,-98.62,17.54,158.19,"N2350 Road, ,Washita County,Oklahoma,73024","N2450 Road, ,Caddo County,Oklahoma, "
335,1951,6,9,09/06/1951,NC,1,0,0,36,-78.33,36.03,-78.28,6.12,27.43,"Mylands Road East, ,Franklin County,North Carolina,27549"," , ,Franklin County,North Carolina, "
337,1951,6,13,13/06/1951,VA,2,12,0,37.55,-77.48,37.6,-77.43,6.6,320.04,"South Sheppard Street, , ,Virginia,23221","Sora Drive,Fayette Park,Henrico County,Virginia,23227"
341,1951,6,15,15/06/1951,TX,1,6,0,32.45,-100.02,32.45,-99.93,7.89,18.29,"County Road 396, ,Taylor County,Texas,79536","County Road 640, ,Taylor County,Texas,79536"
342,1951,6,16,16/06/1951,TX,2,0,0,32.45,-97.42,32.45,-97.17,23.34,18.29,"Chisholm Trail Parkway, ,Johnson County,Texas,76058","FM 2738, ,Johnson County,Texas,76061"
347,1951,6,18,18/06/1951,CO,2,0,0,38.15,-103.97,38.18,-103.42,48.12,9.14,"County Lane 6, ,Crowley County,Colorado,81062"," , ,Otero County,Colorado, "
350,1951,6,19,19/06/1951,MN,4,20,1,44.88,-94.37,45.22,-93.35,84.65,301.75,"Oakland Avenue Southeast, ,McLeod County,Minnesota,55350"," , ,Anoka County,Minnesota, "
351,1951,6,19,19/06/1951,NE,1,0,0,42.95,-103.88,42.98,-103.78,7.56,100.58,"Edgemont Road, ,Sioux County,Nebraska, "," , ,Sioux County,Nebraska,69346"
354,1951,6,20,20/06/1951,KS,2,0,0,38.47,-101.37,38.48,-100.47,78.21,9.14,"Indian Road, ,Wichita County,Kansas,67861","West Vine Street, ,Lane County,Kansas,67839"
356,1951,6,21,21/06/1951,IN,3,4,0,41.12,-86.48,41.12,-86.35,8.69,1609.34," , ,Pulaski County,Indiana, ","West 475 North, ,Fulton County,Indiana,46975"
357,1951,6,21,21/06/1951,KS,1,0,0,39.37,-98.88,39.4,-98.47,35.73,9.14,"South 210th Avenue, ,Osborne County,Kansas, ","110 Road, ,Mitchell County,Kansas, "
359,1951,6,21,21/06/1951,OK,1,0,0,36.63,-102.78,36.67,-102.72,6.92,9.14,"E0260 Road, ,Cimarron County,Oklahoma, ","N0170 Road, ,Cimarron County,Oklahoma, "
365,1951,6,25,25/06/1951,CO,1,1,0,40.85,-102.5,40.58,-102.33,32.51,9.14,"County Road 16, ,Sedgwick County,Colorado,80749","County Road 22, ,Phillips County,Colorado,80734"
367,1951,6,25,25/06/1951,MN,2,0,0,43.57,-94.77,43.6,-94.48,22.85,9.14,"60th Street, ,Martin County,Minnesota,56127","Lake Aries Road, ,Martin County,Minnesota,56031"
368,1951,6,25,25/06/1951,NE,2,1,0,41.1,-103.05,41.22,-102.92,16.74,52.12,"Road 105, ,Cheyenne County,Nebraska,69162","Road 32, ,Cheyenne County,Nebraska, "
371,1951,6,27,27/06/1951,IL,3,35,0,39.95,-89.17,39.95,-88.98,15.45,274.32,"2250th Avenue, ,Logan County,Illinois,62543","Schellabarger Road, ,Macon County,Illinois,62526"
372,1951,6,27,27/06/1951,IL,3,15,1,40.27,-89.47,40.27,-89.12,29.29,182.88,"700th Avenue, ,Logan County,Illinois,62643","East 1550 North Road, ,DeWitt County,Illinois,61778"
375,1951,6,27,27/06/1951,OH,1,0,0,39.5,-84.58,39.53,-84.5,7.56,9.14,"Hamilton Eaton Road, ,Butler County,Ohio,45011","Jacksonburg Road,Jacksonburg,Butler County,Ohio,45011"
376,1951,6,27,27/06/1951,PA,2,0,0,40.58,-79.25,40.87,-79.18,31.7,9.14,"Allison Road, ,Indiana County,Pennsylvania,15701","Dayton Smicksburg Road,Smicksburg,Indiana County,Pennsylvania,16256"
384,1951,7,7,07/07/1951,NE,0,0,0,40.85,-101.55,40.88,-101.45,8.21,9.14,"Whittier Street, ,Perkins County,Nebraska,69150"," , ,Perkins County,Nebraska, "
394,1951,7,20,20/07/1951,MN,3,40,5,44.93,-93.5,44.88,-93.27,18.67,9.14,"Lake Minnetonka LRT Regional Trail, ,Hennepin County,Minnesota,55345","East 68th Street, ,Hennepin County,Minnesota,55423"
399,1951,7,22,22/07/1951,KS,2,0,0,39.48,-97.58,39.4,-97.48,12.39,9.14,"Lark Road, ,Cloud County,Kansas,66901"," , ,Cloud County,Kansas, "
407,1951,8,10,10/08/1951,NM,0,0,0,36.67,-103.95,36.78,-103.78,19.63,27.43," , ,Union County,New Mexico, ","County Road B018, ,Union County,New Mexico,88418"
408,1951,8,10,10/08/1951,OK,1,2,0,35.8,-97.2,35.88,-97.17,9.5,182.88,"East Seward Road, ,Logan County,Oklahoma,73058","East College Avenue,Frost,Logan County,Oklahoma, "
414,1951,8,15,15/08/1951,MI,2,0,0,42.9,-84.88,43,-84.33,45.87,304.5,"Marsalle Road, ,Ionia County,Michigan,48875","West Main Street, ,Shiawassee County,Michigan,48866"
